file_id,speaker_name,speaker_party,speech_text,jaar,date,kamer,category,title,document_number,url,meta_url,vergadernummer,standardized_name,sentence_number,speech_id
h-tk-20152016-52-16,De voorzitter,,"The motion teeth/kerstens (
The room,
heard the deliberation,
noting that at the European Patent Office in Rijswijk and Munich there has been targeted attacks on trade union members and a very high workload for some time;
Furthermore, finding that the EOB as an international organization does not fall under national labor law;
Whereas such violations of the standards of the International Labor Organization, certainly if they take place on Dutch territory, are unacceptable;
The government requests to consult with other Member States of the EOB about measures to prevent these abuses and how to regulate the legal gap in these labor conflicts, following the now -agreed process of the ""Social Audit"", with other Member States,
And proceeds to the order of the day.",2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,1,h-tk-20152016-52-16_1
h-tk-20152016-52-16,De voorzitter,,It turns out that the submission of it is sufficiently supported.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,2,h-tk-20152016-52-16_2
h-tk-20152016-52-16,De voorzitter,,She gets no.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,3,h-tk-20152016-52-16_3
h-tk-20152016-52-16,De voorzitter,,I note that we can now vote on this.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,4,h-tk-20152016-52-16_4
h-tk-20152016-52-16,De voorzitter,,"I note that the members of the SP, the PvdD, PvdA, GroenLinks, D66, 50Plus, the Kuzu/Öztürk group, Klein and the ChristenUnie voted for this changed motion and the members of the other political groups, so that she has been hired.",2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,1,h-tk-20152016-52-16_1
h-tk-20152016-68-6,De voorzitter,,There is a list of incoming pieces on the clerk's table.,2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,1,h-tk-20152016-68-6_1
h-tk-20152016-68-6,De voorzitter,,This list contains proposals for the treatment of these documents.,2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,2,h-tk-20152016-68-6_2
h-tk-20152016-68-6,De voorzitter,,"If no objection was made before the end of the meeting, I assume that this is agreed.",2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,3,h-tk-20152016-68-6_3
h-tk-20152016-75-13-n1,De voorzitter,,"The Lucas motion (31524, no. 283) comes to the vote.",2015-2016,2016-04-12,tk,handelingen,13 Stemming motie Ontwerpbesluit experiment cross-overkwalificaties,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.xml,"nr. 75, item 13",de de voorzitter,1,h-tk-20152016-75-13-n1_1
h-tk-20152016-75-13-n1,De voorzitter,,"I note that the members of the D66, 50Plus, Van Vliet, Houwers, Klein, the VVD, the ChristenUnie, the Bontes/Van Klaveren group and the PVV voted for this motion.",2015-2016,2016-04-12,tk,handelingen,13 Stemming motie Ontwerpbesluit experiment cross-overkwalificaties,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.xml,"nr. 75, item 13",de de voorzitter,2,h-tk-20152016-75-13-n1_2
