file_id,speaker_name,speaker_party,speech_text,jaar,date,kamer,category,title,document_number,url,meta_url,vergadernummer,standardized_name,sentence_number,speech_id,pos_tags
h-tk-20152016-52-16,De voorzitter,,"The motion teeth/kerstens (
The room,
heard the deliberation,
noting that at the European Patent Office in Rijswijk and Munich there has been targeted attacks on trade union members and a very high workload for some time;
Furthermore, finding that the EOB as an international organization does not fall under national labor law;
Whereas such violations of the standards of the International Labor Organization, certainly if they take place on Dutch territory, are unacceptable;
The government requests to consult with other Member States of the EOB about measures to prevent these abuses and how to regulate the legal gap in these labor conflicts, following the now -agreed process of the ""Social Audit"", with other Member States,
And proceeds to the order of the day.",2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,1,h-tk-20152016-52-16_1,"The_DET motion_NOUN teeth_NOUN /_SYM kerstens_NOUN (_PUNCT 
_SPACE The_DET room_NOUN ,_PUNCT 
_SPACE heard_VERB the_DET deliberation_NOUN ,_PUNCT 
_SPACE noting_VERB that_SCONJ at_ADP the_DET European_PROPN Patent_PROPN Office_PROPN in_ADP Rijswijk_PROPN and_CCONJ Munich_PROPN there_PRON has_AUX been_AUX targeted_VERB attacks_NOUN on_ADP trade_NOUN union_NOUN members_NOUN and_CCONJ a_DET very_ADV high_ADJ workload_NOUN for_ADP some_DET time_NOUN ;_PUNCT 
_SPACE Furthermore_ADV ,_PUNCT finding_VERB that_SCONJ the_DET EOB_PROPN as_ADP an_DET international_ADJ organization_NOUN does_AUX not_PART fall_VERB under_ADP national_ADJ labor_NOUN law_NOUN ;_PUNCT 
_SPACE Whereas_SCONJ such_ADJ violations_NOUN of_ADP the_DET standards_NOUN of_ADP the_DET International_PROPN Labor_PROPN Organization_PROPN ,_PUNCT certainly_ADV if_SCONJ they_PRON take_VERB place_NOUN on_ADP Dutch_ADJ territory_NOUN ,_PUNCT are_AUX unacceptable_ADJ ;_PUNCT 
_SPACE The_DET government_NOUN requests_VERB to_PART consult_VERB with_ADP other_ADJ Member_PROPN States_PROPN of_ADP the_DET EOB_PROPN about_ADP measures_NOUN to_PART prevent_VERB these_DET abuses_NOUN and_CCONJ how_SCONJ to_PART regulate_VERB the_DET legal_ADJ gap_NOUN in_ADP these_DET labor_NOUN conflicts_NOUN ,_PUNCT following_VERB the_DET now_ADV -agreed_PROPN process_NOUN of_ADP the_DET ""_PUNCT Social_PROPN Audit_PROPN ""_PUNCT ,_PUNCT with_ADP other_ADJ Member_PROPN States_PROPN ,_PUNCT 
_SPACE And_CCONJ proceeds_VERB to_ADP the_DET order_NOUN of_ADP the_DET day_NOUN ._PUNCT"
h-tk-20152016-52-16,De voorzitter,,It turns out that the submission of it is sufficiently supported.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,2,h-tk-20152016-52-16_2,It_PRON turns_VERB out_ADP that_SCONJ the_DET submission_NOUN of_ADP it_PRON is_AUX sufficiently_ADV supported_VERB ._PUNCT
h-tk-20152016-52-16,De voorzitter,,She gets no.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,3,h-tk-20152016-52-16_3,She_PRON gets_VERB no_INTJ ._PUNCT
h-tk-20152016-52-16,De voorzitter,,I note that we can now vote on this.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,4,h-tk-20152016-52-16_4,I_PRON note_VERB that_SCONJ we_PRON can_AUX now_ADV vote_VERB on_ADP this_PRON ._PUNCT
h-tk-20152016-52-16,De voorzitter,,"I note that the members of the SP, the PvdD, PvdA, GroenLinks, D66, 50Plus, the Kuzu/Öztürk group, Klein and the ChristenUnie voted for this changed motion and the members of the other political groups, so that she has been hired.",2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,1,h-tk-20152016-52-16_1,"I_PRON note_VERB that_SCONJ the_DET members_NOUN of_ADP the_DET SP_PROPN ,_PUNCT the_DET PvdD_PROPN ,_PUNCT PvdA_PROPN ,_PUNCT GroenLinks_PROPN ,_PUNCT D66_PROPN ,_PUNCT 50Plus_NUM ,_PUNCT the_DET Kuzu_PROPN /_SYM Öztürk_PROPN group_NOUN ,_PUNCT Klein_PROPN and_CCONJ the_DET ChristenUnie_PROPN voted_VERB for_ADP this_DET changed_VERB motion_NOUN and_CCONJ the_DET members_NOUN of_ADP the_DET other_ADJ political_ADJ groups_NOUN ,_PUNCT so_SCONJ that_SCONJ she_PRON has_AUX been_AUX hired_VERB ._PUNCT"
h-tk-20152016-68-6,De voorzitter,,There is a list of incoming pieces on the clerk's table.,2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,1,h-tk-20152016-68-6_1,There_PRON is_VERB a_DET list_NOUN of_ADP incoming_ADJ pieces_NOUN on_ADP the_DET clerk_NOUN 's_PART table_NOUN ._PUNCT
h-tk-20152016-68-6,De voorzitter,,This list contains proposals for the treatment of these documents.,2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,2,h-tk-20152016-68-6_2,This_DET list_NOUN contains_VERB proposals_NOUN for_ADP the_DET treatment_NOUN of_ADP these_DET documents_NOUN ._PUNCT
h-tk-20152016-68-6,De voorzitter,,"If no objection was made before the end of the meeting, I assume that this is agreed.",2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,3,h-tk-20152016-68-6_3,"If_SCONJ no_DET objection_NOUN was_AUX made_VERB before_ADP the_DET end_NOUN of_ADP the_DET meeting_NOUN ,_PUNCT I_PRON assume_VERB that_SCONJ this_PRON is_AUX agreed_VERB ._PUNCT"
h-tk-20152016-75-13-n1,De voorzitter,,"The Lucas motion (31524, no. 283) comes to the vote.",2015-2016,2016-04-12,tk,handelingen,13 Stemming motie Ontwerpbesluit experiment cross-overkwalificaties,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.xml,"nr. 75, item 13",de de voorzitter,1,h-tk-20152016-75-13-n1_1,"The_DET Lucas_PROPN motion_NOUN (_PUNCT 31524_NUM ,_PUNCT no_INTJ ._NOUN 283_NUM )_PUNCT comes_VERB to_ADP the_DET vote_NOUN ._PUNCT"
h-tk-20152016-75-13-n1,De voorzitter,,"I note that the members of the D66, 50Plus, Van Vliet, Houwers, Klein, the VVD, the ChristenUnie, the Bontes/Van Klaveren group and the PVV voted for this motion.",2015-2016,2016-04-12,tk,handelingen,13 Stemming motie Ontwerpbesluit experiment cross-overkwalificaties,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.xml,"nr. 75, item 13",de de voorzitter,2,h-tk-20152016-75-13-n1_2,"I_PRON note_VERB that_SCONJ the_DET members_NOUN of_ADP the_DET D66_PROPN ,_PUNCT 50Plus_NUM ,_PUNCT Van_PROPN Vliet_PROPN ,_PUNCT Houwers_PROPN ,_PUNCT Klein_PROPN ,_PUNCT the_DET VVD_PROPN ,_PUNCT the_DET ChristenUnie_PROPN ,_PUNCT the_DET Bontes_PROPN /_SYM Van_PROPN Klaveren_PROPN group_NOUN and_CCONJ the_DET PVV_PROPN voted_VERB for_ADP this_DET motion_NOUN ._PUNCT"
